File,Comment,Code,Coherent
RayHandler.java,"""/** * Expert functionality */""","""public Texture getLightMapTexture() {
            return this.lightMap.frameBuffer.getColorBufferTexture();
    }""",0
YangEditor.java,"""/** * @return {@link Module} of the current editor input or <code>null</code> if editor input does * not contains appropriate {@link Module} * @throws YangModelException error during initialization of Module */""","""public Module getModule() throws YangModelException {
        IEditorInput input = getEditorInput();
        if (input == null) {
            return null;
        }

        if (input instanceof IFileEditorInput) {
            IFile file = ((IFileEditorInput) input).getFile();
            return YangCorePlugin.createYangFile(file).getModule();
        } else if (input instanceof JarEntryEditorInput) {
            JarEntryEditorInput jarInput = (JarEntryEditorInput) input;
            IStorage storage = jarInput.getStorage();
            if (storage instanceof YangJarFileEntryResource) {
                YangJarFileEntryResource jarEntry = (YangJarFileEntryResource) storage;
                return YangCorePlugin.createJarEntry(jarEntry.getPath(), jarEntry.getEntry()).getModule();
            } else if (storage instanceof JarEntryFile) {
                JarEntryFile jarEntry = (JarEntryFile) storage;
                return YangCorePlugin.createJarEntry(jarEntry.getPackageFragmentRoot().getPath(),
                        jarEntry.getFullPath().makeRelative().toString()).getModule();
            }
        }
        return null;
    }""",1
WfsIDCStatus.java,"""/** * @see #powerSaveRecoveryTime */""","""public void setPowerSaveRecoveryTime(final int powerSaveRecoveryTime) {
		this.powerSaveRecoveryTime.set(powerSaveRecoveryTime);
	}""",1
ResponseBody.java,"""/** * getBadRequestResult */""","""@JsonIgnore
public Result getBadRequestResult (
VangavException vangavException,
UUID requestId) throws Exception {

try {
  
  ResponseBodyError responseBodyError =
    new ResponseBodyError(vangavException, requestId);
  
  return Results.badRequest((String)responseBodyError.getContent() );
} catch (Exception e) {
  
  try {
    
    ResponseBodyError responseBodyError =
      new ResponseBodyError(vangavException);
    
    return Results.badRequest((String)responseBodyError.getContent() );
  } catch (Exception e2) {
    
    try {

      ResponseBodyError responseBodyError =
        new ResponseBodyError(requestId);
      
      return Results.badRequest((String)responseBodyError.getContent() );
    } catch (Exception e3) {

      ResponseBodyError responseBodyError =
        new ResponseBodyError();
      
      return Results.badRequest((String)responseBodyError.getContent() );
    }
  }
}
}""",0
WindowParam.java,"""/** * * set Y coordinate of the left upper point of the window * **/""","""public void setTopRightCornerY(int topRightCornerY) {
		this.topRightCornerY = topRightCornerY;
	}""",1
MasterServer.java,"""/** * Receive, from worker, ip and port for Socket connection */""","""private synchronized void processInfoForCopyLog(String info,String topicOfWorker){

    //parse message to get ip e port for logs
    String [] split=info.split("","");

    String iPaddress="""";
    String port="""";

    for(String x: split){
        if(x.contains(""ip"")) 
            iPaddress=x.split("":"")[1];
        if(x.contains(""portcopylog""))
            port=x.split("":"")[1];


    }
    Address address=new Address(iPaddress, port);
    workerListForCopyLogs.put(topicOfWorker, address);
}""",0
WrapperPlayServerBlockChange.java,"""/** * Retrieve block Z Coordinate. * @return The current Z */""","""public int getZ() {
        return handle.getIntegers().read(2);
    }""",1
XmlWriterUtilTest.java,"""/** * Test method for {@link org.codehaus.plexus.util.xml.XmlWriterUtil#writeComment(org.codehaus.plexus.util.xml.XMLWriter, java.lang.String)}. * * @throws Exception if any */""","""public void testWriteCommentXMLWriterString()
        throws Exception
    {
        XmlWriterUtil.writeComment( xmlWriter, ""hello"" );
        writer.close();
        StringBuffer sb = new StringBuffer();
        sb.append( ""<!-- hello                                                                  -->"" ).append( XmlWriterUtil.LS );
        assertEquals( output.toString(), sb.toString() );
        assertTrue( output.toString().length() == XmlWriterUtil.DEFAULT_COLUMN_LINE - 1 + XmlWriterUtil.LS.length() );

        tearDown();
        setUp();

        XmlWriterUtil.writeComment( xmlWriter,
                                    ""hellooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo"" );
        writer.close();
        sb = new StringBuffer();
        sb.append( ""<!-- hellooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo -->"" )
            .append( XmlWriterUtil.LS );
        assertEquals( output.toString(), sb.toString() );
        assertTrue( output.toString().length() >= XmlWriterUtil.DEFAULT_COLUMN_LINE );

        tearDown();
        setUp();

        XmlWriterUtil.writeComment( xmlWriter, ""hello\nworld"" );
        writer.close();
        sb = new StringBuffer();
        sb.append( ""<!-- hello                                                                  -->"" ).append( XmlWriterUtil.LS );
        sb.append( ""<!-- world                                                                  -->"" ).append( XmlWriterUtil.LS );
        assertEquals( output.toString(), sb.toString() );
        assertTrue( output.toString().length() == 2 * ( XmlWriterUtil.DEFAULT_COLUMN_LINE - 1 + XmlWriterUtil.LS.length() ) );
    }""",1
WBSType.java,"""/** * Gets the value of the summaryAccountingVarianceByLaborUnits property. * * @return *     possible object is *     {@link Double } * */""","""public Double getSummaryAccountingVarianceByLaborUnits()
   {
      return summaryAccountingVarianceByLaborUnits;
   }""",1
WrapperPlayServerWorldParticles.java,"""/** * Retrieve the name of the particle to create. A list can be found here. * @return The current Particle name */""","""public String getParticleName() {
        return handle.getStrings().read(0);
    }""",1
WebScenarioObject.java,"""/** * Gets variables. * * @return Value of variables. */""","""public String getVariables() {
        return variables;
    }""",1
WTauNafPreCompInfo.java,"""/** * Constructor for <code>WTauNafPreCompInfo</code> * @param preComp Array holding the precomputed <code>ECPoint.F2m</code>s * used for the WTNAF multiplication in <code> * {@link org.bouncycastle.math.ec.multiplier.WTauNafMultiplier.multiply() * WTauNafMultiplier.multiply()}</code>. */""","""WTauNafPreCompInfo(ECPoint.F2m[] preComp)
    {
        this.preComp = preComp;
    }""",1
WrapperPlayClientWindowClick.java,"""/** * Set the item that was clicked in the inventory. * @param value - new value. */""","""public void setClickedItem(ItemStack value) {
        handle.getItemModifier().write(0, value);
    }""",1
XmppMuc.java,"""/** * Checks if a room for the specific number * * @param number * @param contact * @return true if the room exists and gtalksms is in it, otherwise false */""","""public boolean roomExists(String number) {
    	return mRooms.containsKey(number);
    }""",1
Wakelock.java,"""/** * returns the values of the data */""","""public double[] getValues()
	{
		double[] retVal = new double[2];
		retVal[0] = getDuration();
		return retVal;
	}""",1
