File,Comment,Code,Coherent
USHibernateUtil.java,/** * A path to the Hibernate configuration file. */,"protected SessionFactory buildSessionFactory() {
        try {
            cz.filmtit.core.Configuration projectConfiguration = ConfigurationSingleton.conf();

            // Create the SessionFactory from core.cfg.xml
            Configuration hibernateConfiguration = new Configuration();

            hibernateConfiguration.configure(getConfigurationFile());

            hibernateConfiguration.setProperty(""hibernate.connection.username"", projectConfiguration.dbUser());
            hibernateConfiguration.setProperty(""hibernate.connection.password"", projectConfiguration.dbPassword());
            hibernateConfiguration.setProperty(""hibernate.connection.url"", projectConfiguration.dbConnector());

            serviceRegistry = new ServiceRegistryBuilder().applySettings(hibernateConfiguration.getProperties()).buildServiceRegistry();
            sessionFactory = hibernateConfiguration.buildSessionFactory(serviceRegistry);
            return sessionFactory;
        }
        catch (Throwable ex) {
            // Make sure you log the exception, as it might be swallowed
            logger.error(""Initial SessionFactory creation failed."" + ex);
            throw new ExceptionInInitializerError(ex);
        }
    }",0
CTarget.java,/** * Overrides the standard grammar analysis so we can prepare the analyser * a little differently from the other targets. */,"@Override
    protected void performGrammarAnalysis(CodeGenerator generator, Grammar grammar) {

        // Check to see if the maximum inline DFA states is still set to
        // the default size. If it is then whack it all the way up to the maximum that
        // we can sensibly get away with.
        //
        if (CodeGenerator.MAX_ACYCLIC_DFA_STATES_INLINE == CodeGenerator.MADSI_DEFAULT) {

            CodeGenerator.MAX_ACYCLIC_DFA_STATES_INLINE = 65535;
        }

        // Check to see if the maximum switch size is still set to the default
        // and bring it up much higher if it is. Modern C compilers can handle
        // much bigger switch statements than say Java can and if anyone finds a compiler
        // that cannot deal with such big switches, all the need do is generate the
        // code with a reduced -Xmaxswitchcaselabels nnn
        //
        if  (CodeGenerator.MAX_SWITCH_CASE_LABELS == CodeGenerator.MSCL_DEFAULT) {

            CodeGenerator.MAX_SWITCH_CASE_LABELS = 3000;
        }

        // Check to see if the number of transitions considered a miminum for using
        // a switch is still at the default. Because a switch is still generally faster than
        // an if even with small sets, and given that the optimizer will do the best thing with it
        // anyway, then we simply want to generate a switch for any number of states.
        //
        if (CodeGenerator.MIN_SWITCH_ALTS == CodeGenerator.MSA_DEFAULT) {

            CodeGenerator.MIN_SWITCH_ALTS = 1;
        }

        // Now we allow the superclass implementation to do whatever it feels it
        // must do.
        //
        super.performGrammarAnalysis(generator, grammar);
    }",0
Grammar.java,"/** If someone does PLUS='+' in the parser, must make sure we get *  ""PLUS : '+' */","public void defineLexerRuleForAliasedStringLiteral(String tokenID,
													   String literal,
													   int tokenType)
	{
		if ( getGrammarIsRoot() ) { // don't build lexers for delegates
			//System.out.println(""defineLexerRuleForAliasedStringLiteral: ""+literal+"" ""+tokenType);
			lexerGrammarST.setAttribute(""literals.{ruleName,type,literal}"",
										tokenID,
										Utils.integer(tokenType),
										literal);
		}
		// track this lexer rule's name
		composite.lexerRules.add(tokenID);
	}",0
Grammar.java,"/** A label on a rule is useless if the rule has no return value, no *  tree or template output, and it is not referenced in an action. */","protected void removeUselessLabels(Map ruleToElementLabelPairMap) {
		if ( ruleToElementLabelPairMap==null ) {
			return;
		}
		Collection labels = ruleToElementLabelPairMap.values();
		List kill = new ArrayList();
		for (Iterator labelit = labels.iterator(); labelit.hasNext();) {
			LabelElementPair pair = (LabelElementPair) labelit.next();
			Rule refdRule = getRule(pair.elementRef.getText());
			if ( refdRule!=null && !refdRule.getHasReturnValue() && !pair.actionReferencesLabel ) {
				//System.out.println(pair.label.getText()+"" is useless"");
				kill.add(pair.label.getText());
			}
		}
		for (int i = 0; i < kill.size(); i++) {
			String labelToKill = (String) kill.get(i);
			// System.out.println(""kill ""+labelToKill);
			ruleToElementLabelPairMap.remove(labelToKill);
		}
	}",0
Tool.java,"/** If the tool needs to panic/exit, how do we do that? */","public void panic() {
        throw new Error(""ANTLR panic"");
    }",0
DonovanDriveTrain.java,/* * A FAILED attempt at driving straight. */,"public void forwardInchesCharlie(int inches) {
    encoderRight.reset();
    encoderLeft.reset();
    double lm;
    double rm;
    int i = 0;
    while ((getAvgDistance() < inches) && donnie.isAutonomous() && donnie.isEnabled()) {
    /*if(i%10 == 0)
    System.out.println(""diff: "" + (encoderLeft.get()-encoderRight.get()));
    else if(i%50 == 0)
    System.out.println(""left: "" + encoderLeft.get() + ""  right: "" + encoderRight.get());
     * */
    
    lm = .5 + ((encoderRight.get() - encoderLeft.get()) / (SCALE));
    rm = .5 + ((encoderLeft.get() - encoderRight.get()) / SCALE);
    tankDrive((-1*lm), (-1*rm));
    i++;
    }
    tankDrive(0, 0);
    }",0
DonovanDriveTrain.java,"/* * A SO FAR UNSUCCESSFUL attempt at drive straight code, ported from Michael1. */","public void forwardInchesMike(int inches){
    resetEncoders();
    donnie.gyro.reset();
    double p, i, d, err, lastErr;
    double multiplier = 0.3;
    p = i = d = err = 0;
    lastErr =  donnie.gyro.getAngle();
    while(getAvgDistance() < inches && donnie.isAutonomous() && donnie.isEnabled()) {
    err = donnie.gyro.getAngle();
    p = err;
    i = i + err * FWD_T;
    d = (err-lastErr)/FWD_T;
    lastErr = err;
    double diff = p*FWD_P + d*FWD_D + i*FWD_I;
    if (getAvgDistance() > inches - 7) {
    multiplier = (inches - getAvgDistance()) / 14;
    if (multiplier < .2)  {
    multiplier = 0.2;
    }
    }
    donnie.dt.tankDrive((multiplier - diff), (multiplier + diff));
    Timer.delay(FWD_T);


    }
    donnie.dt.tankDrive(0, 0);

    }",0
ATKMonitorService.java,/** * Only valid on API >= 8 */,"private long getUidTxBytes(int uid){
    	 String className = ""android.net.TrafficStats"";
  		String methodName = ""getUidTxBytes"";
  		try {
  			Class<?> handler = Class.forName(className);
  			Method m = handler.getDeclaredMethod(methodName, int.class);
  			long result = (Long) m.invoke(handler.newInstance(),uid);
  			return result;
  		} catch (Exception e) {
  			e.printStackTrace();
  			return -1;
  		}
     }",0
ATKMonitorService.java,/** * Only valid on API >= 8 */,"private long getTotalTxBytes() {
 		String className = ""android.net.TrafficStats"";
 		String methodName = ""getTotalTxBytes"";
 		try {
 			Class<?> handler = Class.forName(className);
 			Method m = handler.getDeclaredMethod(methodName, (Class[]) null);
 			long result = (Long) m.invoke(handler.newInstance());
 			return result;
 		} catch (Exception e) {
 			e.printStackTrace();
 			return -1;
 		}
 	}",0
TestApk.java,/** * Black Box Test  Method */,"public void testDisplayBlackBox() throws Throwable {  
       String exitCommand="""";
		//getting commands from remote service  and execute them
		do {
			if(remoteConnection!=null) {
				try  {
					 cmd=serviceb.getEvent();
					 if(cmd!=null){
						 exitCommand=cmd[0];
						 if(!cmd[0].equalsIgnoreCase(""ExitSolo"")) {
							 executeSoloCommand.execute(cmd);
							 Log.d(logTag, cmd[0]);
							}
					 }
					
				} catch (RemoteException e) {
					Log.d(logTag,e.getMessage(),e);	
				}
			}
		} while(!exitCommand.equalsIgnoreCase(""ExitSolo""));


	}",0
