File,Comment,Code,Coherent
YangIndenter.java,"Scans tokens for the matching opening peer. The internal cursor (<code>fPosition<code>) is set to the offset of the opening peer if found.  @param openToken the opening peer token @param closeToken the closing peer token @return <code>true<code> if a matching token was found, <code>false<code> otherwise","private boolean skipScope(int openToken, int closeToken) {

        int depth = 1;

        while (true) {
            nextToken();

            if (fToken == closeToken) {
                depth++;
            } else if (fToken == openToken) {
                depth--;
                if (depth == 0) {
                    return true;
                }
            } else if (fToken == Symbols.TokenEOF) {
                return false;
            }
        }
    }",1
WXDomManager.java,Notify the creating of whole dom tree has finished. This message is sent by JS. @param instanceId {@link com.taobao.weex.WXSDKInstance#mInstanceId} for the instance to notify.,"void createFinish(String instanceId) {
    if (!isDomThread()) {
      throw new WXRuntimeException(""CreateFinish operation must be done in dom thread"");
    }
    WXDomStatement statement = mDomRegistries.get(instanceId);
    if (statement == null) {
      return;
    }
    statement.createFinish();
  }",1
ZAddParams.java,Modify the return value from the number of new elements added to the total number of elements changed @return ZAddParams,"public ZAddParams ch() {
    addParam(CH);
    return this;
  }",0
YSLDFileHandlerTest.java,Supply a folder name and retrieve all the ysld files in it  <p>Test method for {@link com.sldeditor.extension.filesystem.file.ysld.YSLDFileHandler#getSLDContents(com.sldeditor.common.NodeInterface)}.,"@Test
    public void testGetSLDContentsFolder() {
        assertNull(new YSLDFileHandler().getSLDContents(null));

        URL url = SLDFileHandlerTest.class.getResource(""/point/ysld"");

        String folderName = """";
        File parent = null;
        try {
            parent = new File(url.toURI());
            folderName = parent.getName();
            parent = parent.getParentFile();
        } catch (URISyntaxException e) {
            e.printStackTrace();
            fail(e.getMessage());
        }

        try {
            FileTreeNode fileTreeNode = new FileTreeNode(parent, folderName);

            YSLDFileHandler handler = new YSLDFileHandler();

            List<SLDDataInterface> sldDataList = handler.getSLDContents(fileTreeNode);

            List<String> expectedLayerNameList = Arrays.asList(""point_simplepoint.ysld"");
            assertEquals(expectedLayerNameList.size(), sldDataList.size());

            for (SLDDataInterface sldData : sldDataList) {
                assertTrue(expectedLayerNameList.contains(sldData.getLayerName()));
            }
        } catch (SecurityException e) {
            e.printStackTrace();
            fail(e.getMessage());
        } catch (FileNotFoundException e) {
            e.printStackTrace();
            fail(e.getMessage());
        }
    }",1
Wiper.java,Those guys sure have an obsession with shit...this is supposed to do some lame-ass transpose.  @param array @param width @param height,"protected final void
        shittyColMajorXform
        ( short[]    array,
          int       width,
          int       height )
        {
            int     x;
            int     y;
            short[]  dest;

            dest = new short[width*height];

            for(y=0;y<height;y++)
            for(x=0;x<width;x++){
                dest[x*height+y] = array[y*width+x];
                //dest[(1+x)*height+y] = array[y*width+(1+x)];
            }
            System.arraycopy(dest, 0, array, 0, width*height);

            //Z_Free(dest);

        }",0
WeightLogs.java,@param weight The weight,"public void setWeight(List<Weight> weight) {
        this.weight = weight;
    }",1
WritableResourceHandler.java,"Maven 2 Index writable {@link ResourceHandler}, is capable of saving resources too. Needed only if incremental index updates are wanted, to store the index state locally, and be able to calculate incremental diffs on next {@link IndexReader} invocation. Is used by single thread only.  @see ResourceHandler @since 5.1.2","public interface WritableResourceHandler
    extends ResourceHandler
{
  interface WritableResource
      extends Resource, Closeable
  {
    /**
     * Returns the {@link OutputStream} stream of the resource, if exists, it will replace the existing content, or if
     * not exists, the resource will be created. The stream should be closed by caller, otherwise resource leaks might
     * be introduced. How and when content is written is left to implementation, but it is guaranteed that this method
     * is called only once, and will be followed by {@link #close()} on the resource itself. Implementation does not
     * have to be ""read consistent"", in a way to worry what subsequent {@link #read()} method will return, as mixed
     * calls will not happen on same instance of resource.
     */
    OutputStream write() throws IOException;
  }

  /**
   * Returns the {@link WritableResource} with {@code name}. Returned locator should be handled as
   * resource, is {@link Closeable}.
   *
   * @param name Resource name, guaranteed to be non-{@code null} and is FS and URL safe string.
   */
  WritableResource locate(String name) throws IOException;
}",1
Wizard.java,Introduction,"protected JPanel step1_setup()
	{
		JTextArea introText = new JTextArea();
			introText.setLineWrap(true);
			introText.setWrapStyleWord(true);
			introText.setEditable(false);
			introText.setMargin(new Insets(10, 10, 10, 10));
			introText.setAutoscrolls(true);
			introText.setText(
				""Welcome to D-Mason.\n""
				+ ""\n""
				+ ""This wizard will help you launching D-Mason on a single ""
				+ ""machine for testing purposes. D-Mason is made of four ""
				+ ""\""components\"" that must be executed in order to run a ""
				+ ""simulation.\n""
				+ ""\n""
				+ ""Please hit the \""Next\"" button below to continue.""
			);
			
		JScrollPane sclIntroText = new JScrollPane(introText);
		
		JPanel panel = new JPanel();
			panel.setLayout(new BoxLayout(panel, BoxLayout.Y_AXIS));
			panel.add(sclIntroText);
		
		return panel;
	}",0
WurmAPI.java,Creates new WurmAPI instance. This method must be used on existing and valid world directory.  @param worldDirectory path to existing world directory. @return WurmAPI instance,"public static WurmAPI open(String worldDirectory) throws IOException {
        return new WurmAPI(worldDirectory);
    }",1
WBSType.java,Sets the value of the summaryBaselineMaterialCost property.  @param value allowed object is {@link Double },"public void setSummaryBaselineMaterialCost(Double value)
   {
      this.summaryBaselineMaterialCost = value;
   }",1
XfsService.java,@return the srvcVersion,"public WFSVersion getSrvcVersion() {
		return srvcVersion;
	}",1
WFMKeyIterator.java,@throws UnsupportedOperationException,"@Override
	public void remove() {
		throw new UnsupportedOperationException();
	}",1
WebViews.java,Adds the specified listener to the specified WebView. <p> If necessary this method switches to the FX application thread.  @param webView the {@link WebView} to which the listener will be added @param listener the {@link WebViewHyperlinkListener} to add to the web view @param eventTypeFilter the {@link EventType} of all events passed to the listener; {@link Optional#empty()} means all events are passed @return a handle on the created listener which allows to attach and detach it,"private static WebViewHyperlinkListenerHandle addHyperlinkListenerDetached(
			WebView webView, WebViewHyperlinkListener listener, Optional<EventType> eventTypeFilter) {

		Objects.requireNonNull(webView, ""The argument 'webView' must not be null."");
		Objects.requireNonNull(listener, ""The argument 'listener' must not be null."");
		Objects.requireNonNull(eventTypeFilter, ""The argument 'eventTypeFilter' must not be null."");

		return new DefaultWebViewHyperlinkListenerHandle(
				webView, listener, eventTypeFilter, new DomEventConverter());
	}",1
WineTastingDetailUITests.java,TEST LIFECYCLE,"@Before
    public void beforeEachTest() {
        //Nuke any old state
        SharedPreferencesHelper
                .getInstance(getContext())
                .nukeAllSharedPreferences();

        //Go from the initial launch page to the details page.
        goToDetailsPage();
    }",0
XmppSaslException.java,@param saslError @param detail,"public XmppSaslException(SaslError saslError, String detail) {
		super(detail);
		this.saslError = saslError;
	}",1
XMLFieldLiteralInt.java,"Configuration to compare the integer value of a field   <p>Java class for XMLFieldLiteralInt complex type.  <p>The following schema fragment specifies the expected content contained within this class.  <pre> &lt;complexType name=""XMLFieldLiteralInt""&gt; &lt;complexContent&gt; &lt;extension base=""{}XMLFieldLiteralBase""&gt; &lt;attribute name=""value"" type=""{http:www.w3.org2001XMLSchema}int"" &gt; &lt;extension&gt; &lt;complexContent&gt; &lt;complexType&gt; <pre>","@XmlAccessorType(XmlAccessType.FIELD)
@XmlType(name = ""XMLFieldLiteralInt"")
public class XMLFieldLiteralInt
    extends XMLFieldLiteralBase
{

    @XmlAttribute(name = ""value"")
    protected Integer value;

    /**
     * Gets the value of the value property.
     * 
     * @return
     *     possible object is
     *     {@link Integer }
     *     
     */
    public Integer getValue() {
        return value;
    }

    /**
     * Sets the value of the value property.
     * 
     * @param value
     *     allowed object is
     *     {@link Integer }
     *     
     */
    public void setValue(Integer value) {
        this.value = value;
    }

}",1
WalkthroughPagerAdapter.java,Mandatory constructor.,"public WalkthroughPagerAdapter(FragmentManager fragmentManager) {
        super(fragmentManager);
    }",1
YangFormattingPreferences.java,@return the maxLineLength,"public int getMaxLineLength() {
        return maxLineLength;
    }",1
WFSPINCAPS.java,{@link #keyNum},"public int getKeyNum() {
		return keyNum.intValue();
	}",1
Volley.java,"Creates a default instance of the worker pool and calls {@link RequestQueue#start()} on it. You may set a maximum size of the disk cache in bytes.  @param context A {@link Context} to use for creating the cache dir. @param stack An {@link HttpStack} to use for the network, or null for default. @param maxDiskCacheBytes the maximum size of the disk cache, in bytes. Use -1 for default size. @return A started {@link RequestQueue} instance.","public static RequestQueue newRequestQueue(Context context, HttpStack stack, int maxDiskCacheBytes) {
        File cacheDir = new File(context.getCacheDir(), DEFAULT_CACHE_DIR);

        String userAgent = ""volley/0"";
        try {
            String packageName = context.getPackageName();
            PackageInfo info = context.getPackageManager().getPackageInfo(packageName, 0);
            userAgent = packageName + ""/"" + info.versionCode;
        } catch (NameNotFoundException e) {
        }

        if (stack == null) {
            if (Build.VERSION.SDK_INT >= 9) {
                stack = new HurlStack();
            } else {
                // Prior to Gingerbread, HttpUrlConnection was unreliable.
                // See: http://android-developers.blogspot.com/2011/09/androids-http-clients.html
                stack = new HttpClientStack(AndroidHttpClient.newInstance(userAgent));
            }
        }

        Network network = new BasicNetwork(stack);
        
        RequestQueue queue;
        if (maxDiskCacheBytes <= -1)
        {
        	// No maximum size specified
        	queue = new RequestQueue(new DiskBasedCache(cacheDir), network);
        }
        else
        {
        	// Disk cache size specified
        	queue = new RequestQueue(new DiskBasedCache(cacheDir, maxDiskCacheBytes), network);
        }

        queue.start();

        return queue;
    }",1
WorldProviderCaves.java,creates a new world chunk manager for WorldProvider,"@Override
	public void registerWorldChunkManager()
	{
		this.worldChunkMgr = new WorldChunkManagerCaves(EnviroMine.caves, 1.0F, 0.0F);
		this.isHellWorld = false;
		this.hasNoSky = true;
		this.dimensionId = EM_Settings.caveDimID;
	}",1
YangGeneratorConfiguration.java,@param additionalConfiguration the additionalConfiguration to set,"public void setAdditionalConfiguration(Map<String, String> additionalConfiguration) {
        this.additionalConfiguration = additionalConfiguration;
    }",1
TestBSTMapExtra.java,"Sanity test for keySet, only here because it's optional","@Test
    public void sanityKeySetTest() {
    	BSTMap<String, Integer> b = new BSTMap<String, Integer>();
        HashSet<String> values = new HashSet<String>();
        for (int i = 0; i < 455; i++) {
            b.put(""hi"" + i, 1);   
            values.add(""hi"" + i);
        }
        assertEquals(455, b.size()); //keys are there
        Set<String> keySet = b.keySet();
        assertTrue(values.containsAll(keySet));
        assertTrue(keySet.containsAll(values));
    }",0
WBSType.java,Gets the value of the summaryEstimateAtCompletionLowPercentByLaborUnits property.  @return possible object is {@link Double },"public Double getSummaryEstimateAtCompletionLowPercentByLaborUnits()
   {
      return summaryEstimateAtCompletionLowPercentByLaborUnits;
   }",1
XMLMediaParser.java,"Parse the input stream as one of {@link Result}, {@link Artist}, {@link Album} or {@link Track}, depending on the document element.  @return An {@link Object} which can then be cast. @throws XMLStreamException @throws XMLParserException","private Object parse() throws XMLStreamException, XMLParserException {
        String name;

        /* Check if reader is currently on a start element. */
        if (this.reader.getEventType() == START_ELEMENT) {
            name = this.reader.getLocalName();

            /* Check current element name and start parsing it. */
            if (name.equals(""result"")) {
                return this.parseResult();
            } else if (name.equals(""toplist"")) {
                return this.parseResult();
            } else if (name.equals(""artist"")) {
                return this.parseArtist();
            } else if (name.equals(""album"")) {
                return this.parseAlbum();
            } else if (name.equals(""track"")) {
                return this.parseTrack();
            } else {
                System.out.println(""Unexpected element '<"" + name + "">' while parsing root xml."");
            }
        }

        throw new IllegalStateException(""Reader is not on a start element!"");
    }",1
WidgetUpdater.java,Update all app tracker app widgets @param context @param dbHelper,"public static void updateWidget(Context context, AppHistoryDbHelper dbHelper) {
		
		ComponentName widget = new ComponentName(context, AppTrackerWidgetProvider.class);
		AppWidgetManager manager = AppWidgetManager.getInstance(context);
		int[] appWidgetIds = manager.getAppWidgetIds(widget);
		log.d(""updating widget for all app widget ids: %s"", appWidgetIds);
		for (int appWidgetId : appWidgetIds) {
			
			// perform this check because there is a bug in Android where, if you
			// exit from the configuration screen, Android will never forget that
			// appWidgetId and it will remain as a ""stale"" appWidgetId
			boolean exists = PreferenceHelper.checkIfAppExists(context, appWidgetId);
			
			if (!exists) {
				log.d(""skipping stale appWidgetId %d"", appWidgetId);
				continue;
			}
			
			RemoteViews updateViews = buildUpdate(context, dbHelper, appWidgetId);
			if (updateViews == null) { // nothing to see yet
				continue;
			}
			manager.updateAppWidget(appWidgetId, updateViews);
		}
	}",1
WrapperPlayServerEntityEffect.java,Set the effect id. @param value - new value.,"@SuppressWarnings(""deprecation"")
	public void setEffect(PotionEffectType value) {
        setEffectId((byte) value.getId());
    }",1
WNafPreCompInfo.java,Class holding precomputation data for the WNAF (Window Non-Adjacent Form) algorithm.,"class WNafPreCompInfo implements PreCompInfo
{
    /**
     * Array holding the precomputed <code>ECPoint</code>s used for the Window
     * NAF multiplication in <code>
     * {@link org.bouncycastle.math.ec.multiplier.WNafMultiplier.multiply()
     * WNafMultiplier.multiply()}</code>.",1
WeexUiTestCaseTCAHrefEvent.java,findMyCaseByText,"public View findMyCaseByText(String caseText){
        if (mCaseListIndexView.size() == 0) return null;

        WXTextView view = null;
        for(int i=0; i<mCaseListIndexView.size();i++){

            view = (WXTextView)mCaseListIndexView.get(i);

            if (view.getText().toString().toLowerCase().contains(caseText.toLowerCase())){
                return view;
            }

        }
        return view;
    }",1
WindowManagerService.java,Resumes normal rotation changes after being paused.,"void resumeRotationLocked() {
        if (mDeferredRotationPauseCount > 0) {
            mDeferredRotationPauseCount -= 1;
            if (mDeferredRotationPauseCount == 0) {
                boolean changed = updateRotationUncheckedLocked(false);
                if (changed) {
                    mH.sendEmptyMessage(H.SEND_NEW_CONFIGURATION);
                }
            }
        }
    }",1
WrapperPlayServerSpawnEntity.java,Retrieve the z position of the object. <p> Note that the coordinate is rounded off to the nearest 132 of a meter. @return The current z,"public double getZ() {
        return handle.getIntegers().read(3) / 32.0D;
    }",1
WriteConcern.java,@return the timeout in millis,"@Nonnegative
  public int getTimeout() {
    return timeout;
  }",1
YamlPanelWriter.java,"Workaround to remove lines that only contain ""xxx: null"". @param string @return","private String removeLines(String string) {
		String lines[] = string.split(""\\r?\\n"");
		String result = """";
		for (String line : lines) {
			if (line.endsWith("": null"")) {
				// omit
			} else if (line.startsWith(""!!org.openpixi"")) {
				// omit
			} else {
				result = result + line + ""\n"";
			}
		}
		return result;
	}",1
XOrGateFigure.java,"@see org.eclipse.draw2d.Figure#getPreferredSize(int, int)","public Dimension getPreferredSize(int wHint, int hHint) {
	return SIZE;
}",1
WrapperPlayClientSettings.java,"Retrieve the client-side ""show cape"" option. @return The current Show Cape","public boolean getShowCape() {
        return handle.getSpecificModifier(boolean.class).read(1);
    }",1
VocabularyService.java,@summary Perform a lookup of an array of concept identifiers returning the matching concepts with their detailed properties. @param sourceKey path parameter specifying the source key identifying the source to use for access to the set of vocabulary tables @param identifiers an array of concept identifiers @return collection of concepts,"@Path(""{sourceKey}/lookup/identifiers"")
  @POST
  @Produces(MediaType.APPLICATION_JSON)
  @Consumes(MediaType.APPLICATION_JSON)
  public Collection<Concept> executeIdentifierLookup(@PathParam(""sourceKey"") String sourceKey, long[] identifiers) {
    if (identifiers.length == 0) {
      return new ArrayList<>();
    }",1
XMLList.java,@param name,"void setName(QName qname)
    {
        if (length() == 1)
        {
            getXmlFromAnnotation(0).setName(qname);
        }
        else
        {
            throw ScriptRuntime.typeError(""The setName method works only on lists containing one item"");
        }
    }",1
WrapperPlayServerAbilities.java,Set whether or not the current player is flying. @param value - new value.,"public void setFlying(boolean value) {
        handle.getSpecificModifier(boolean.class).write(1, value);
    }",1
ModelHelper.java,"If the element is not found in diagram ""editor"", the method searches for its diagram element without an editor attached to it.","public static DiagramElement getDiagramElementByEditor (Element element, DiagramEditor editor){
		
		if (!initialized) initializeHelper();
		
		if(mappings.get(element)==null) return null;
		
		ArrayList<DiagramElement> found = new ArrayList<DiagramElement>();		
		if(mappings.get(element)!=null && mappings.get(element).size()>0)
		{			
			if(editor!=null){
				for(DiagramElement de: mappings.get(element))
				{					
					if (editor.getDiagram().getChildren().contains(de)) { found.add(de); }				
				}
			}
		}	

		if(found.size()>1)
		{
			Main.printErrLine(""The model instance {""+new OntoUMLElement(element,"""")+""} has 2 diagram elements for the same diagram editor."");
			return null;
		}
		if(found.size()==0)
		{		
			for(DiagramElement de: mappings.get(element))
			{
				boolean attachedToDiagram=false;
				for(DiagramEditor d: ProjectBrowser.frame.getDiagramManager().getDiagramEditors()){
					if(d.getDiagram().getChildren().contains(de)) attachedToDiagram =true;
				}	
				if (!attachedToDiagram) return de;
			}						
			return null;
			
		}else{			
			return found.get(0);
		}	
	}",0
YamlStorage.java,Private method to purge data. Don't use it anywhere else,"private boolean removeWirelessScreen(String channelName, Location loc, String world) {
        WirelessChannel channel = getWirelessChannel(channelName, true);
        if (channel != null) {
            channel.removeScreenAt(loc, world);
            updateChannel(channelName, channel);
            return true;
        } else
            return false;
    }",0
